Individual ID,Individual Sex,Age min,Age max,Born at Teo,Teeth O Value,Local before death,Bone O Value,Died min,Died max,Context,Location,Sacrificed
1,M,20.00,24.00,,NA,1.00,15.80,,,not soldier,Temple of Feathered Serpent,1
l90A ,M,21.00,35.00,,NA,1.00,16.10,200,250,soldier,Temple of Feathered Serpent,1
l90B ,M,21.00,35.00,,NA,1.00,14.00,200,250,soldier,Temple of Feathered Serpent,1
l90F ,M,17.00,19.00,1.00,15.50,1.00,15.30,200,250,soldier,Temple of Feathered Serpent,1
l90M ,M,25.00,29.00,,NA,1.00,14.20,200,250,soldier,Temple of Feathered Serpent,1
l90P ,M,21.00,26.00,,NA,1.00,14.60,200,250,soldier,Temple of Feathered Serpent,1
4A ,M,35.00,39.00,1.00,14.40,1.00,15.60,150,200,soldier,Temple of Feathered Serpent,1
4C ,M,40.00,44.00,0.00,16.80,1.00,15.70,150,200,soldier,Temple of Feathered Serpent,1
4E,M,35.00,39.00,0.00,11.70,1.00,15.90,150,200,soldier,Temple of Feathered Serpent,1
4L ,M,18.00,20.00,0.00,11.40,1.00,16.00,150,200,soldier,Temple of Feathered Serpent,1
4N ,M,25.00,29.00,,NA,1.00,16.20,150,200,soldier,Temple of Feathered Serpent,1
4N~ ,M,20.00,22.00,0.00,17.80,,NA,150,200,soldier,Temple of Feathered Serpent,1
4O,M,25.00,29.00,0.00,17.20,,NA,150,200,soldier,Temple of Feathered Serpent,1
2A ,F,25.00,30.00,1.00,14.40,1.00,14.70,150,200,not soldier,Temple of Feathered Serpent,1
2C ,F,14.00,16.00,1.00,13.00,0.00,19.70,150,200,not soldier,Temple of Feathered Serpent,1
2G ,F,17.00,19.00,1.00,15.20,1.00,16.30,150,200,not soldier,Temple of Feathered Serpent,1
2H ,F,22.00,28.00,0.00,17.80,0.00,17.00,150,200,not soldier,Temple of Feathered Serpent,1
5C ,M,19.00,21.00,0.00,18.20,1.00,14.40,200,250,soldier,Temple of Feathered Serpent,1
